Ref,Value,Footprint,JLCPCB_Part,Qty,Description
"U1","ESP32-S3","QFN-56_7x7mm_P0.4mm","C2913202",1,"ESP32-S3 dual-core LX7 SoC, 2.4GHz WiFi 802.11b/g/n, BT5.0, QFN56"
"U2","AP2112K-3.3TRG1","SOT-23-5","C51118",1,"LDO regulator 3.3V 600mA, Vin max 6V, SOT-23-5"
"U3","CP2102-GMR","QFN-28_5x5mm_P0.5mm","C6568",1,"USB Full-Speed (12Mbps) to UART bridge, 3.3V I/O, QFN28"
"ANT1","2450AT18A100","ANT_0402_1x0.5mm","C167687",1,"2.4GHz chip antenna, 50-ohm, 0402 (1.0x0.5mm)"
"J1","USB_C_16P","USB-C_SMD_16P","C165948",1,"USB-C receptacle 16-pin SMD, 5A rated"
"J2","U.FL_SMD","U.FL_SMD","C88374",1,"u.FL/IPEX SMD RF connector, 50-ohm"
"J3","1x04 2.54mm","PinHeader_1x04_P2.54mm","C49661",1,"4-pin UART header (GND UART_RX UART_TX 3V3)"
"J4","1x04 2.54mm","PinHeader_1x04_P2.54mm","C49661",1,"4-pin I2C header (GND SDA SCL 3V3)"
"J5","1x06 2.54mm","PinHeader_1x06_P2.54mm","C124378",1,"6-pin SPI header (GND MOSI MISO CLK CS 3V3)"
"SW1","SW_TACT_6x6","SW_Tactile_6x6mm","C318884",1,"Reset tactile switch 6x6mm, connects EN to GND"
"SW2","SW_TACT_6x6","SW_Tactile_6x6mm","C318884",1,"Boot tactile switch 6x6mm, connects GPIO0 to GND"
"D1","LED_RED","LED_0402","C2286",1,"Red LED 0402, Vf ~2.0V, If 20mA max"
"D2","LED_GRN","LED_0402","C2297",1,"Green LED 0402, Vf ~2.2V, If 20mA max"
"R1","330R","R_0402","C23197",1,"330 ohm 1% 0.1W 0402 — status LED current limit (GPIO48)"
"R2","1k","R_0402","C11702",1,"1k ohm 1% 0.1W 0402 — power LED current limit (3.3V always-on)"
"C1,C2,C3,C4,C5,C6,C9,C10,C11","100nF","C_0402","C1525",9,"100nF 10V X5R 0402 — local decoupling on IC VCC pins"
"C7,C8","10uF","C_0805","C17024",2,"10uF 10V X5R 0805 — bulk decoupling (LDO input and output)"
